STATUS | wrapper  | 2009/04/21 11:26:25 | --> Wrapper Started as Service
INFO   | jvm 1    | 2009/04/21 11:26:51 | 11:26:51.015 - [ INFO ] > Zone Extension [ smsg ] created, for zone:messenger
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | Zone: imgMan
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | 	MainLobby          (id: 19, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:51 | 11:26:51.187 - [ INFO ] > Zone Extension [ imgman ] created, for zone:imgMan
INFO   | jvm 1    | 2009/04/21 11:26:51 | [imageManager.as]: Image Manager extension starts...
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | Zone: bomberman
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | 	Lobby              (id: 20, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:51 | 
INFO   | jvm 1    | 2009/04/21 11:26:51 | 	DB Manager Activated ( org.h2.Driver )
INFO   | jvm 1    | 2009/04/21 11:26:51 | Zone: h2dbzone
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Lobby              (id: 21, max: 10, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.015 - [ INFO ] > Zone Extension [ h2db_ext ] created, for zone:h2dbzone
INFO   | jvm 1    | 2009/04/21 11:26:52 | [internalDbDemo.as]: Initing dbExtension
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | Zone: advBuddyList
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Lobby              (id: 22, max: 10000, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | Zone: sloader
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Lobby              (id: 23, max: 10000, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.125 - [ INFO ] > Zone Extension [ loader ] created, for zone:sloader
INFO   | jvm 1    | 2009/04/21 11:26:52 | [ it.gotoandplay.extensions.examples.SocketFileLoader ]: Socket File Loader -- Started!
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | Zone: SmartVideoClipPlayer
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	The Lobby          (id: 24, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.125 - [ INFO ] > Zone Extension [ __$RedBox$__ ] created, for zone:SmartVideoClipPlayer
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.265 - [ INFO ] > [RedBox] RedBox's AVChatManager initialized
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.296 - [ INFO ] > [RedBox] RedBox's AVClipManager initialized and a/v clips list created (4 clips found)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.296 - [ INFO ] > [RedBox] Extension initialized
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.296 - [ INFO ] > Default Buddy List Persister <INITED>
INFO   | jvm 1    | 2009/04/21 11:26:52 | Zone: SmartMessengerAV
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Main               (id: 25, max: 40, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.296 - [ INFO ] > Zone Extension [ smsg ] created, for zone:SmartMessengerAV
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.296 - [ INFO ] > Zone Extension [ __$RedBox$__ ] created, for zone:SmartMessengerAV
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.312 - [ INFO ] > [RedBox] RedBox's AVChatManager initialized
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.312 - [ INFO ] > [RedBox] RedBox's AVClipManager initialized and a/v clips list created (0 clips found)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.312 - [ INFO ] > [RedBox] Extension initialized
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | Zone: SmartChatAV
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	The Hall           (id: 26, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	The Kitchen        (id: 27, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	The Garden         (id: 28, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	The Bathroom       (id: 29, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	The Garage         (id: 30, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.312 - [ INFO ] > Zone Extension [ __$RedBox$__ ] created, for zone:SmartChatAV
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.312 - [ INFO ] > [RedBox] RedBox's AVChatManager initialized
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.312 - [ INFO ] > [RedBox] RedBox's AVClipManager initialized and a/v clips list created (0 clips found)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.312 - [ INFO ] > [RedBox] Extension initialized
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | Zone: SmartVideoConference
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Conference hall 1  (id: 31, max: 10, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Conference hall 2  (id: 32, max: 10, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Conference hall 3  (id: 33, max: 10, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | Zone: openspace
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Ranch (inside)     (id: 34, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Ranch (outside)    (id: 35, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 	Slopes area        (id: 36, max: 50, pass:N)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | --- [ Server Starting ] ---------------------------------
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | Server address: All
INFO   | jvm 1    | 2009/04/21 11:26:52 | Server port   : 9339
INFO   | jvm 1    | 2009/04/21 11:26:52 | 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.546 - [ INFO ] > [TaskScheduler] ... started ::
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.546 - [ INFO ] > [BlueBoxHandler]... started :: 
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.546 - [ INFO ] > [EventWriter] ..... started :: 1 thread(s)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.546 - [ INFO ] > [SystemHandler] ... started :: 1 thread(s)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.546 - [ INFO ] > [ExtensionHandler]. started :: 1 thread(s)
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.546 - [ INFO ] > [DeadChannelsPolicy: strict]
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.546 - [ INFO ] > Server is up and running!
INFO   | jvm 1    | 2009/04/21 11:26:52 | [dbExtension.as]: Event received: serverReady
INFO   | jvm 1    | 2009/04/21 11:26:52 | [simpleExt.as]: Event received: serverReady
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.562 - [ INFO ] > [RedBox] Internal event received: serverReady
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.562 - [ INFO ] > [RedBox] Internal event received: serverReady
INFO   | jvm 1    | 2009/04/21 11:26:52 | 11:26:52.562 - [ INFO ] > [RedBox] Internal event received: serverReady
INFO   | jvm 1    | 2009/04/21 11:27:04 | 
INFO   | jvm 1    | 2009/04/21 11:27:04 | 
INFO   | jvm 1    | 2009/04/21 11:27:04 | Shutting down server...
INFO   | jvm 1    | 2009/04/21 11:27:04 | 
STATUS | wrapper  | 2009/04/21 11:27:06 | <-- Wrapper Stopped
